Model,Precision,Recall,F1
Isolation Forest,0.7964817320703653,0.01716445330953756,0.03360471356634733
Local Outlier Factor,0.8174603174603174,0.018021801130299372,0.03526612226730351
Autoencoder,0.9166666666666666,0.020208912917957064,0.03954599147450054
